hero,score
Calico,0.209806
Ivy,0.200897
Wraith,0.198087
Mo & Krill,0.195906
Venator,0.190192
Lash,0.189183
Drifter,0.188646
Haze,0.185401
McGinnis,0.184863
Apollo,0.184587
Celeste,0.181631
Seven,0.180199
Dynamo,0.178917
Pocket,0.175636
Vindicta,0.175423
Viscous,0.175419
Paradox,0.174399
Silver,0.173724
Lady Geist,0.172901
Victor,0.172652
The Doorman,0.17219
Abrams,0.170062
Shiv,0.166185
Kelvin,0.166129
Vyper,0.165498
Warden,0.165426
Yamato,0.164543
Paige,0.163294
Mina,0.162725
Graves,0.161651
Bebop,0.155517
Infernus,0.153944
Billy,0.152123
Rem,0.150119
Grey Talon,0.148872
Sinclair,0.148097
Holliday,0.147971
Mirage,0.138103
