hero_a,hero_b,winrate,games
1,10,0.426724,464
1,11,0.42654,211
1,12,0.480687,233
1,13,0.454128,436
1,14,0.382353,102
1,15,0.462555,227
1,16,0.395706,652
1,17,0.474576,118
1,18,0.418803,468
1,19,0.523288,365
1,2,0.394558,294
1,20,0.41165,515
1,25,0.472973,222
1,27,0.450199,251
1,3,0.44127,315
1,31,0.49162,537
1,35,0.403226,310
1,4,0.476395,233
1,50,0.424242,264
1,52,0.561644,219
1,58,0.382353,102
1,6,0.506897,290
1,60,0.503759,133
1,63,0.511905,252
1,64,0.475104,482
1,65,0.488273,469
1,66,0.421053,304
1,67,0.520737,217
1,69,0.468852,305
1,7,0.428571,609
1,72,0.567073,164
1,76,0.397059,136
1,77,0.418879,339
1,79,0.53125,224
1,8,0.416988,259
1,80,0.445283,265
1,81,0.433333,300
10,1,0.573276,464
10,11,0.466334,401
10,12,0.491803,366
10,13,0.497925,723
10,14,0.524904,261
10,15,0.525751,466
10,16,0.422397,1018
10,17,0.520599,267
10,18,0.434272,852
10,19,0.548986,592
10,2,0.425129,581
10,20,0.433054,956
10,25,0.456395,344
10,27,0.475375,467
10,3,0.470085,585
10,31,0.48335,991
10,35,0.458929,560
10,4,0.488372,387
10,50,0.448276,551
10,52,0.542781,374
10,58,0.455752,226
10,6,0.457265,468
10,60,0.537594,266
10,63,0.502092,478
10,64,0.476852,864
10,65,0.455758,825
10,66,0.456098,410
10,67,0.507895,380
10,69,0.484076,628
10,7,0.467259,901
10,72,0.538462,312
10,76,0.518519,270
10,77,0.450464,646
10,79,0.546,500
10,8,0.427822,381
10,80,0.442516,461
10,81,0.444631,596
11,1,0.57346,211
11,10,0.533666,401
11,12,0.497778,225
11,13,0.522673,419
11,14,0.592308,130
11,15,0.575646,271
11,16,0.468268,583
11,17,0.677165,127
11,18,0.512727,550
11,19,0.587079,356
11,2,0.459459,296
11,20,0.505245,572
11,25,0.511628,215
11,27,0.579365,252
11,3,0.531987,297
11,31,0.538012,513
11,35,0.53681,326
11,4,0.554167,240
11,50,0.492537,268
11,52,0.646809,235
11,58,0.453704,108
11,6,0.540441,272
11,60,0.566038,159
11,63,0.614286,280
11,64,0.532294,449
11,65,0.529954,434
11,66,0.541126,231
11,67,0.551402,214
11,69,0.565625,320
11,7,0.482759,464
11,72,0.570681,191
11,76,0.612245,147
11,77,0.533141,347
11,79,0.615635,307
11,8,0.493827,243
11,80,0.565574,244
11,81,0.491103,281
12,1,0.519313,233
12,10,0.508197,366
12,11,0.502222,225
12,13,0.521605,324
12,14,0.568421,95
12,15,0.580087,231
12,16,0.447458,590
12,17,0.555556,108
12,18,0.481188,505
12,19,0.513433,335
12,2,0.504587,218
12,20,0.462247,543
12,25,0.550562,178
12,27,0.516908,207
12,3,0.509317,322
12,31,0.511161,448
12,35,0.525084,299
12,4,0.487288,236
12,50,0.478261,207
12,52,0.602804,214
12,58,0.488636,88
12,6,0.498054,257
12,60,0.553957,139
12,63,0.538136,236
12,64,0.48307,443
12,65,0.464567,381
12,66,0.474138,232
12,67,0.537736,212
12,69,0.473054,334
12,7,0.474699,415
12,72,0.509091,165
12,76,0.466667,105
12,77,0.506623,302
12,79,0.547529,263
12,8,0.406393,219
12,80,0.497436,195
12,81,0.495238,210
13,1,0.545872,436
13,10,0.502075,723
13,11,0.477327,419
13,12,0.478395,324
13,14,0.560606,264
13,15,0.55102,539
13,16,0.445,1200
13,17,0.542254,284
13,18,0.467772,543
13,19,0.55836,634
13,2,0.477148,547
13,20,0.449886,878
13,25,0.555256,371
13,27,0.539773,528
13,3,0.506803,588
13,31,0.513353,1011
13,35,0.501062,471
13,4,0.513919,467
13,50,0.522686,551
13,52,0.590476,420
13,58,0.474576,236
13,6,0.53,500
13,60,0.551237,283
13,63,0.522472,534
13,64,0.505796,949
13,65,0.503906,1024
13,66,0.483333,420
13,67,0.530928,388
13,69,0.512235,613
13,7,0.483463,1028
13,72,0.542208,308
13,76,0.517134,321
13,77,0.492228,772
13,79,0.595941,542
13,8,0.450575,435
13,80,0.511927,545
13,81,0.487013,616
14,1,0.617647,102
14,10,0.475096,261
14,11,0.407692,130
14,12,0.431579,95
14,13,0.439394,264
14,15,0.513966,179
14,16,0.440994,322
14,17,0.453488,86
14,18,0.44,275
14,19,0.517483,143
14,2,0.457143,175
14,20,0.424242,264
14,25,0.433071,127
14,27,0.426357,129
14,3,0.441341,179
14,31,0.44702,302
14,35,0.484848,165
14,4,0.490566,106
14,50,0.46875,160
14,52,0.57554,139
14,58,0.451613,62
14,6,0.424051,158
14,60,0.612903,62
14,63,0.50625,160
14,64,0.417582,273
14,65,0.464789,284
14,66,0.490566,106
14,67,0.504274,117
14,69,0.479532,171
14,7,0.426966,267
14,72,0.425287,87
14,76,0.455446,101
14,77,0.427948,229
14,79,0.465347,202
14,8,0.407692,130
14,80,0.513966,179
14,81,0.396985,199
15,1,0.537445,227
15,10,0.474249,466
15,11,0.424354,271
15,12,0.419913,231
15,13,0.44898,539
15,14,0.486034,179
15,16,0.389251,614
15,17,0.510638,188
15,18,0.435678,583
15,19,0.439394,462
15,2,0.440252,318
15,20,0.400353,567
15,25,0.440559,286
15,27,0.456026,307
15,3,0.48415,347
15,31,0.436594,552
15,35,0.426332,319
15,4,0.467181,259
15,50,0.431138,334
15,52,0.490421,261
15,58,0.441558,154
15,6,0.509915,353
15,60,0.513228,189
15,63,0.443038,316
15,64,0.431444,547
15,65,0.466667,630
15,66,0.434783,299
15,67,0.473684,247
15,69,0.452247,356
15,7,0.432143,560
15,72,0.5,224
15,76,0.408377,191
15,77,0.429501,461
15,79,0.512422,322
15,8,0.446809,235
15,80,0.430818,318
15,81,0.4375,368
16,1,0.604294,652
16,10,0.577603,1018
16,11,0.531732,583
16,12,0.552542,590
16,13,0.555,1200
16,14,0.559006,322
16,15,0.610749,614
16,17,0.541787,347
16,18,0.513514,1258
16,19,0.577916,1123
16,2,0.50384,651
16,20,0.503238,1081
16,25,0.543548,620
16,27,0.541507,783
16,3,0.534989,886
16,31,0.537121,1320
16,35,0.522427,758
16,4,0.522029,749
16,50,0.527881,807
16,52,0.645469,629
16,58,0.506536,306
16,6,0.544987,778
16,60,0.587838,444
16,63,0.565585,709
16,64,0.538941,1284
16,65,0.519044,1339
16,66,0.539281,751
16,67,0.538951,629
16,69,0.553066,848
