hero_a,hero_b,synergy_score,games
1,10,0.422857,350
1,11,0.505792,259
1,12,0.46087,230
1,13,0.433225,307
1,14,0.394161,137
1,15,0.438298,235
1,16,0.52449,490
1,17,0.488889,90
1,18,0.442765,463
1,19,0.381579,228
1,2,0.438424,203
1,20,0.496047,506
1,25,0.479452,146
1,27,0.418079,177
1,3,0.414062,256
1,31,0.439141,419
1,35,0.472222,252
1,4,0.511111,180
1,50,0.458333,192
1,52,0.359551,178
1,58,0.535354,99
1,6,0.43,200
1,60,0.365714,175
1,63,0.403141,191
1,64,0.444444,378
1,65,0.440806,397
1,66,0.44898,147
1,67,0.508961,279
1,69,0.415978,363
1,7,0.479784,371
1,72,0.480315,127
1,76,0.404762,126
1,77,0.496124,258
1,79,0.401042,384
1,8,0.533333,210
1,80,0.474286,175
1,81,0.461929,197
10,11,0.54698,298
10,12,0.454183,251
10,13,0.470588,646
10,14,0.459119,159
10,15,0.412568,366
10,16,0.505703,1052
10,17,0.439153,189
10,18,0.498503,668
10,19,0.421667,600
10,2,0.506211,322
10,20,0.510802,648
10,25,0.47541,366
10,27,0.446316,475
10,3,0.49569,464
10,31,0.490145,761
10,35,0.493213,442
10,4,0.501241,403
10,50,0.468531,429
10,52,0.380697,373
10,58,0.478788,165
10,6,0.47033,455
10,60,0.401099,182
10,63,0.457672,378
10,64,0.501348,742
10,65,0.48,775
10,66,0.495074,406
10,67,0.427907,215
10,69,0.468835,369
10,7,0.503606,832
10,72,0.422925,253
10,76,0.471111,225
10,77,0.509434,689
10,79,0.391753,291
10,8,0.544586,314
10,80,0.46383,470
10,81,0.480094,427
11,12,0.59596,99
11,13,0.551111,450
11,14,0.523256,86
11,15,0.526316,209
11,16,0.583929,560
11,17,0.478261,138
11,18,0.574561,228
11,19,0.489209,278
11,2,0.554054,222
11,20,0.547945,292
11,25,0.474576,177
11,27,0.515504,258
11,3,0.537313,268
11,31,0.545455,407
11,35,0.628141,199
11,4,0.551181,254
11,50,0.573034,267
11,52,0.401042,192
11,58,0.53211,109
11,6,0.497925,241
11,60,0.382979,94
11,63,0.513109,267
11,64,0.522145,429
11,65,0.554924,528
11,66,0.567961,206
11,67,0.456897,116
11,69,0.446602,206
11,7,0.560633,569
11,72,0.472868,129
11,76,0.596774,124
11,77,0.55132,341
11,79,0.486301,146
11,8,0.619883,171
11,80,0.532847,274
11,81,0.538732,284
12,13,0.5,442
12,14,0.333333,51
12,15,0.464789,142
12,16,0.558577,478
12,17,0.406897,145
12,18,0.5,168
12,19,0.46875,224
12,2,0.547468,316
12,20,0.544615,325
