hero,pickrate,winrate,synergy_score,counter_score,meta_score
16,0.325309,0.541226,0.0,0.0,0.35194025
20,0.268476,0.538659,0.0,0.0,0.3364485
7,0.280793,0.531285,0.0,0.0,0.33584075
18,0.253533,0.530949,0.0,0.0,0.32885775
31,0.264412,0.498227,0.0,0.0,0.3152165
65,0.247968,0.503782,0.0,0.0,0.31388299999999997
13,0.21877,0.506716,0.0,0.0,0.3080505
64,0.239527,0.493083,0.0,0.0,0.30642325
77,0.195698,0.514377,0.0,0.0,0.30611299999999997
8,0.120233,0.550702,0.0,0.0,0.30540925
2,0.145992,0.534047,0.0,0.0,0.3035215
11,0.126485,0.538804,0.0,0.0,0.30102324999999996
4,0.148493,0.521684,0.0,0.0,0.29796525
81,0.143554,0.517857,0.0,0.0,0.294817
35,0.15881,0.506299,0.0,0.0,0.292852
3,0.175503,0.497684,0.0,0.0,0.29271775
69,0.175503,0.496259,0.0,0.0,0.29200525
50,0.154308,0.506483,0.0,0.0,0.2918185
10,0.204764,0.474504,0.0,0.0,0.288443
80,0.129298,0.512089,0.0,0.0,0.288369
66,0.128548,0.508755,0.0,0.0,0.2865145
12,0.119045,0.507878,0.0,0.0,0.28370025000000004
6,0.142866,0.489278,0.0,0.0,0.2803555
27,0.13974,0.488591,0.0,0.0,0.2792305
19,0.189446,0.458416,0.0,0.0,0.2765695
76,0.074903,0.512521,0.0,0.0,0.27498625
25,0.11223,0.492479,0.0,0.0,0.274297
63,0.151432,0.471511,0.0,0.0,0.2736135
58,0.058897,0.514862,0.0,0.0,0.27215525
67,0.108103,0.487565,0.0,0.0,0.27080825000000003
1,0.121421,0.453656,0.0,0.0,0.25718325
15,0.129173,0.449661,0.0,0.0,0.25712375
72,0.091409,0.456224,0.0,0.0,0.25096425
17,0.069464,0.465347,0.0,0.0,0.2500395
60,0.079342,0.447597,0.0,0.0,0.24363400000000002
79,0.133988,0.415772,0.0,0.0,0.241383
14,0.05946,0.449001,0.0,0.0,0.23936549999999998
52,0.113105,0.394693,0.0,0.0,0.22562275
