composition,winrate,games
10|11|13|16|58|72,1.0,1
10|11|13|19|4|60,0.0,1
10|11|13|20|4|64,1.0,1
10|11|15|27|3|50,0.0,1
10|11|15|2|6|65,0.0,1
10|11|16|3|4|63,1.0,1
10|11|17|27|35|81,0.0,1
10|11|20|50|6|65,0.0,1
10|11|27|4|76|81,1.0,1
10|11|31|58|76|77,0.0,1
10|12|13|15|58|76,0.0,1
10|13|15|16|18|65,0.0,1
10|13|15|2|58|66,0.0,1
10|13|16|20|31|64,0.0,1
10|13|16|2|66|79,1.0,1
10|13|18|6|65|76,0.0,1
10|13|19|69,0.0,1
10|13|25|76|79|80,1.0,1
10|13|27|35|67|77,0.0,1
10|13|3|64|66|79,0.0,1
10|13|64|66|76|79,1.0,1
10|15|16|20|64|65,1.0,1
10|15|2|6|76|79,1.0,1
10|15|31|4|64|77,1.0,1
10|15|58|7|72|77,0.0,1
10|15|63|64|66|76,1.0,1
10|16|20|35|64|7,1.0,1
10|16|20|4|64|81,0.0,1
10|16|63|65|66|67,1.0,1
10|17|18|4|50|6,0.0,1
10|17|35|64|69|77,0.0,1
10|18|31|63|64|7,1.0,1
10|18|4|52|76|81,0.0,1
10|18|4|64|7|77,1.0,1
10|18|63|65|66|7,1.0,1
10|18|64|66|7|8,0.0,1
10|19|20|52,1.0,1
10|19|25|31|50|60,0.0,1
10|19|35|52|63|79,0.0,1
10|19|52|76|79|81,0.0,1
10|19|69|76|77|80,0.0,1
10|19|6|63|65|79,0.0,1
10|25|4|64|65|67,1.0,1
10|2|25|35|63|79,0.0,1
10|2|67|72|77|8,0.0,1
10|35|4|7,1.0,1
10|4|52|60|63|72,0.0,1
10|64|66|67|7|81,0.0,1
10|6|63|66|69|77,1.0,1
10|6|64|7|79|81,0.0,1
11|12|13|15|2|58,1.0,1
11|12|2|7|76|77,1.0,1
11|13|16|19|20|81,1.0,1
11|13|18|19|3|65,1.0,1
11|13|18|4|65|80,1.0,1
11|13|4|6|76|8,1.0,1
11|13|65|66|76|79,0.5,2
11|13|77|80,1.0,1
11|15|16|27|67|76,1.0,1
11|15|16|2|76|77,0.0,1
11|15|16|65|66|67,1.0,1
11|15|17|2|58|66,0.0,1
11|15|2|25|63|67,0.0,1
11|15|2|81,0.0,1
11|15|31|58|76|81,0.0,1
11|15|52|63|77|81,1.0,1
11|16|18|50|65|7,1.0,1
11|16|18|63|67|7,1.0,1
11|16|25|7|80|81,0.0,1
11|16|2|50|67|76,1.0,1
11|16|35|63|65|81,0.0,1
11|16|58|63|69|76,1.0,1
11|18|2|4|7|76,1.0,1
11|19|2|63|66|79,1.0,1
11|19|3|31|52|65,0.0,1
11|19|3|63,0.0,1
11|19|3|66|69|7,0.0,1
11|19|50|7|79|80,0.0,1
11|19|69|7|76|81,0.0,1
11|20|6|63|64|80,0.0,1
11|20|7|76|8|80,1.0,1
11|2|27|69|72|77,0.0,1
11|35|63|65|69|77,0.0,1
11|35|65|77,1.0,1
11|50|65|66|67|76,0.0,1
11|52|58|79|80|81,1.0,1
11|65|67|77,1.0,1
12|13|15|16|3|65,0.0,1
12|13|15|16|3|76,0.0,1
12|13|15|25,1.0,1
12|13|15|2|66|8,0.0,1
12|13|15|6|63|80,0.0,1
12|13|16|25|3|76,0.0,1
12|13|16|6|63|64,0.0,1
12|13|17|18|4|7,1.0,1
12|13|18|3|58|65,1.0,1
12|13|27|65|79|8,1.0,1
12|13|2|20|31|64,0.0,1
12|13|2|27|64|79,1.0,1
12|13|2|66|72|79,0.0,1
12|13|3|31|66|8,1.0,1
12|13|3|65|69|72,1.0,1
12|15|64|65|69|76,1.0,1
12|16|20|50|63|81,0.0,1
12|16|65|76|77|80,0.0,1
12|17|18|4|65|7,0.0,1
12|18|2|63|65|76,0.0,1
12|18|3|58|63|65,1.0,1
12|25|60|65|76|79,1.0,1
12|27|50|63|79|80,0.0,1
12|31|4|52|77|81,0.0,1
