hero,pickrate,winrate,synergy_score,counter_score,meta_score
20,0.333333,0.0,0.0,0.0,0.08333325
31,0.333333,0.0,0.0,0.0,0.08333325
4,0.333333,0.0,0.0,0.0,0.08333325
7,0.333333,0.0,0.0,0.0,0.08333325
13,0.166667,0.0,0.0,0.0,0.04166675
12,0.166667,0.0,0.0,0.0,0.04166675
3,0.166667,0.0,0.0,0.0,0.04166675
25,0.166667,0.0,0.0,0.0,0.04166675
14,0.166667,0.0,0.0,0.0,0.04166675
50,0.166667,0.0,0.0,0.0,0.04166675
64,0.166667,0.0,0.0,0.0,0.04166675
66,0.166667,0.0,0.0,0.0,0.04166675
72,0.166667,0.0,0.0,0.0,0.04166675
79,0.166667,0.0,0.0,0.0,0.04166675
