composition,winrate,games
10|11|12|13|63|65,1.0,1
10|11|12|13|64|7,1.0,1
10|11|12|27|52|65,0.0,1
10|11|12|27|65|7,0.0,1
10|11|12|50|65|7,1.0,1
10|11|12|63|65|80,1.0,1
10|11|13|14|19|25,1.0,1
10|11|13|14|25|50,1.0,1
10|11|13|15|16|65,0.0,1
10|11|13|15|25|77,1.0,2
10|11|13|15|31|65,0.0,1
10|11|13|15|31|7,0.0,1
10|11|13|15|4|64,1.0,1
10|11|13|15|64|81,1.0,1
10|11|13|15|65|7,1.0,1
10|11|13|15|72|80,0.0,1
10|11|13|16|19|64,0.0,1
10|11|13|16|25|76,1.0,1
10|11|13|16|31|65,1.0,2
10|11|13|16|31|77,1.0,1
10|11|13|16|64|77,1.0,1
10|11|13|16|64|80,1.0,2
10|11|13|16|77|81,0.0,1
10|11|13|16|7|72,0.0,1
10|11|13|16|80|81,1.0,1
10|11|13|18|31|7,1.0,1
10|11|13|18|64|65,0.0,1
10|11|13|18|64|7,1.0,1
10|11|13|18|7|72,1.0,1
10|11|13|19|31|64,1.0,1
10|11|13|19|3|35,1.0,1
10|11|13|19|3|6,0.5,2
10|11|13|19|65|79,1.0,1
10|11|13|20|27|77,1.0,1
10|11|13|20|4|64,0.0,1
10|11|13|20|6|7,1.0,1
10|11|13|25|60|65,0.0,1
10|11|13|25|65|69,1.0,1
10|11|13|25|66|7,0.0,1
10|11|13|27|3|31,1.0,1
10|11|13|27|4|80,1.0,1
10|11|13|31|64|72,0.0,1
10|11|13|31|64|77,1.0,2
10|11|13|31|64|81,1.0,1
10|11|13|31|66|81,1.0,1
10|11|13|31|76|77,1.0,1
10|11|13|31|76|80,1.0,1
10|11|13|31|77|81,0.0,1
10|11|13|35|64|76,1.0,1
10|11|13|35|64|81,0.0,1
10|11|13|35|7|8,1.0,1
10|11|13|3|31|80,1.0,1
10|11|13|3|35|64,1.0,1
10|11|13|3|6|66,1.0,1
10|11|13|4|6|81,1.0,1
10|11|13|52|66|69,0.0,1
10|11|13|64|69|77,0.0,1
10|11|13|64|8|80,0.0,1
10|11|13|6|60|7,0.0,1
10|11|14|50|58|77,1.0,1
10|11|14|58|64|65,1.0,1
10|11|15|16|2|76,1.0,1
10|11|15|16|58|63,0.0,1
10|11|15|17|31|77,0.0,1
10|11|15|17|50|6,1.0,1
10|11|15|17|77|80,0.0,1
10|11|15|19|2|77,1.0,1
10|11|15|19|3|65,1.0,1
10|11|15|19|50|64,0.0,1
10|11|15|19|7|77,1.0,1
10|11|15|19|7|80,0.0,1
10|11|15|25|31|7,0.0,1
10|11|15|27|3|52,0.0,1
10|11|15|2|6|7,0.0,1
10|11|15|31|4|65,0.0,1
10|11|15|31|58|65,0.0,1
10|11|15|3|50|72,0.0,1
10|11|15|3|52|72,0.0,1
10|11|15|50|66|8,0.0,1
10|11|15|58|6|65,0.0,1
10|11|15|66|7|77,1.0,1
10|11|16|17|19|81,1.0,1
10|11|16|17|31|65,0.0,1
10|11|16|17|80|81,1.0,1
10|11|16|19|2|3,0.0,1
10|11|16|19|2|4,0.0,1
10|11|16|19|50|7,0.0,1
10|11|16|19|52|77,0.0,1
10|11|16|19|63|80,1.0,2
10|11|16|20|27|50,1.0,1
10|11|16|20|63|64,0.0,1
10|11|16|20|64|65,0.0,1
10|11|16|20|65|80,1.0,1
10|11|16|25|3|58,0.0,1
10|11|16|25|3|65,1.0,1
10|11|16|25|64|7,0.5,2
10|11|16|27|4|52,0.0,1
10|11|16|27|52|80,0.0,1
10|11|16|27|58|64,1.0,1
10|11|16|27|64|65,0.0,1
10|11|16|27|64|7,1.0,1
10|11|16|27|66|7,1.0,1
10|11|16|27|7|81,0.0,1
10|11|16|2|27|77,1.0,1
10|11|16|2|31|58,1.0,1
10|11|16|2|31|81,1.0,1
10|11|16|2|64|8,1.0,1
10|11|16|2|64|80,1.0,1
10|11|16|2|80|81,1.0,1
10|11|16|31|35|65,1.0,1
10|11|16|31|50|52,0.0,1
10|11|16|31|50|63,0.0,1
10|11|16|31|50|7,0.0,1
10|11|16|31|58|65,0.0,1
10|11|16|31|65|69,1.0,1
10|11|16|31|65|7,0.666667,3
10|11|16|31|7|8,1.0,1
10|11|16|35|4|81,1.0,1
10|11|16|35|50|77,0.0,1
10|11|16|35|65|7,1.0,1
10|11|16|3|64|65,0.0,1
10|11|16|3|66|7,1.0,1
10|11|16|4|63|72,0.0,1
10|11|16|4|63|80,1.0,1
10|11|16|4|64|65,1.0,1
10|11|16|4|64|7,1.0,1
10|11|16|50|52|6,0.0,1
10|11|16|50|72|81,0.0,1
10|11|16|50|77|80,1.0,1
10|11|16|58|64|77,1.0,1
10|11|16|63|77|80,1.0,1
10|11|16|64|65|77,0.5,2
10|11|16|64|7|72,1.0,1
10|11|16|64|7|80,1.0,1
10|11|16|64|7|81,1.0,1
10|11|16|65|66|69,0.0,1
10|11|16|6|64|7,0.0,1
10|11|16|7|72|81,0.0,1
10|11|16|7|77|81,1.0,1
10|11|17|18|7|81,0.0,1
10|11|17|19|20|77,1.0,1
10|11|17|19|4|81,1.0,1
10|11|17|25|27|52,0.0,1
10|11|17|25|31|77,1.0,1
10|11|17|25|76|8,1.0,1
10|11|17|31|77|81,0.0,1
10|11|17|3|6|81,0.0,1
10|11|17|4|6|65,0.0,1
10|11|17|50|6|72,0.0,1
10|11|18|19|63|7,1.0,1
10|11|18|3|66|7,1.0,1
10|11|18|50|58|7,1.0,1
10|11|18|52|65|7,0.0,1
10|11|19|20|31|63,0.0,1
10|11|19|20|4|50,1.0,1
10|11|19|20|64|7,0.0,1
10|11|19|27|3|79,0.0,1
10|11|19|2|20|77,0.0,1
10|11|19|2|35|81,1.0,1
10|11|19|3|50|8,1.0,1
10|11|19|3|64|77,1.0,1
10|11|19|50|64|65,0.0,1
10|11|19|60|65|7,0.0,1
10|11|19|60|7|72,0.0,1
10|11|19|63|65|69,1.0,1
10|11|19|63|65|80,0.0,1
10|11|20|25|52|64,0.0,1
10|11|20|27|50|64,1.0,1
10|11|20|27|50|66,1.0,1
10|11|20|27|52|80,1.0,1
10|11|20|4|66|7,1.0,1
10|11|20|4|7|77,1.0,1
10|11|20|64|7|72,1.0,1
10|11|20|64|7|77,1.0,1
10|11|20|66|7|76,1.0,1
10|11|25|31|63|80,0.0,1
10|11|25|31|64|7,0.0,1
10|11|25|3|35|7,0.0,1
10|11|25|52|58|69,0.0,1
10|11|25|52|7|77,1.0,1
10|11|25|63|65|69,1.0,1
10|11|25|65|8|80,0.5,2
10|11|27|31|64|65,0.0,1
10|11|27|31|64|7,0.0,1
10|11|27|31|65|77,0.0,1
10|11|27|35|4|7,0.0,1
10|11|27|3|31|50,1.0,1
10|11|27|3|35|50,0.0,1
10|11|27|3|64|65,1.0,1
10|11|27|3|6|60,0.0,1
10|11|27|4|7|8,1.0,1
10|11|27|63|79|80,0.0,1
10|11|27|66|7|8,0.0,1
10|11|27|77|80|81,1.0,1
10|11|2|27|31|80,1.0,1
10|11|2|27|6|81,0.0,1
10|11|2|3|6|66,0.0,1
10|11|2|4|64|80,0.0,1
10|11|2|65|66|69,1.0,1
10|11|31|35|63|80,1.0,1
10|11|31|50|66|80,1.0,1
10|11|31|50|6|7,1.0,1
10|11|31|58|6|65,1.0,1
10|11|31|64|65|76,1.0,1
10|11|31|64|65|77,0.0,1
10|11|31|64|66|7,1.0,1
10|11|31|64|7|72,1.0,1
10|11|31|64|7|77,1.0,1
10|11|31|65|77|80,1.0,1
10|11|31|66|7|76,0.0,1
10|11|31|66|7|77,1.0,1
10|11|31|6|63|65,1.0,1
10|11|35|4|50|81,1.0,1
10|11|35|4|52|64,0.0,1
10|11|35|50|77|81,1.0,1
10|11|35|66|7|76,1.0,1
10|11|35|7|77|81,1.0,1
10|11|3|31|64|65,0.0,1
10|11|3|31|65|76,1.0,1
10|11|3|31|65|80,1.0,1
10|11|3|35|64|77,0.0,1
10|11|3|35|65|66,0.0,1
10|11|3|4|66|81,1.0,1
10|11|3|4|77|81,0.0,1
10|11|3|52|6|64,0.0,1
10|11|3|6|63|72,0.0,1
10|11|3|6|65|77,1.0,1
10|11|3|76|77|80,1.0,1
10|11|3|7|72|8,0.0,1
10|11|4|52|66|81,1.0,1
10|11|4|66|77|81,1.0,1
10|11|4|6|63|80,1.0,1
10|11|4|6|65|77,1.0,1
10|11|4|6|7|77,0.0,1
10|11|4|6|7|80,0.0,1
10|11|4|72|80|81,1.0,1
10|11|50|65|66|69,1.0,1
10|11|50|6|77|80,0.0,1
10|11|52|60|64|7,1.0,1
10|11|52|64|8|80,1.0,1
10|11|52|65|66|7,0.0,1
10|11|52|77|8|80,0.0,1
10|11|58|64|8|80,1.0,1
10|11|58|66|7|79,0.0,1
10|11|60|65|7|72,1.0,1
10|11|63|72|77|80,1.0,1
10|11|64|65|7|80,1.0,1
10|11|64|77|80|81,1.0,1
10|11|64|7|8|80,1.0,1
10|11|65|66|8|81,0.0,1
10|11|6|64|7|77,0.0,1
10|11|6|65|76|77,1.0,2
10|11|6|65|77|81,0.0,1
10|11|76|8|80|81,1.0,1
10|11|7|77|8|80,0.0,1
10|12|13|15|27|65,0.0,1
10|12|13|15|31|63,0.0,1
10|12|13|15|63|77,1.0,1
10|12|13|15|65|66,0.0,1
10|12|13|16|17|27,1.0,1
10|12|13|16|27|63,1.0,1
10|12|13|16|27|64,0.0,1
10|12|13|16|27|7,0.0,1
10|12|13|16|3|31,0.0,1
10|12|13|16|3|64,1.0,1
10|12|13|16|50|66,0.0,1
10|12|13|16|63|72,0.0,1
10|12|13|16|63|77,0.5,2
10|12|13|16|65|81,0.0,1
10|12|13|17|19|50,0.0,1
10|12|13|18|2|7,0.0,1
10|12|13|18|50|52,0.0,1
10|12|13|18|65|7,0.0,1
10|12|13|19|2|20,0.0,1
10|12|13|19|3|77,1.0,1
10|12|13|19|4|64,1.0,1
10|12|13|19|4|81,0.0,1
10|12|13|19|6|63,1.0,1
10|12|13|20|50|72,1.0,1
10|12|13|25|35|7,1.0,1
10|12|13|27|31|7,1.0,1
10|12|13|27|6|7,0.0,1
10|12|13|27|77|81,0.0,1
10|12|13|2|25|8,0.0,1
10|12|13|2|31|4,0.0,1
