hero,score
Calico,0.208613
Ivy,0.200625
Wraith,0.195592
Mo & Krill,0.1938
Drifter,0.19156
Venator,0.190643
Lash,0.188785
Celeste,0.185836
Haze,0.185557
McGinnis,0.183432
Apollo,0.182808
Dynamo,0.179997
Seven,0.179198
Viscous,0.176873
Silver,0.175506
Pocket,0.175323
Paradox,0.174919
Vindicta,0.174525
Abrams,0.171793
Lady Geist,0.171045
The Doorman,0.170946
Victor,0.170577
Paige,0.167318
Shiv,0.165707
Warden,0.165584
Yamato,0.164535
Kelvin,0.16439
Vyper,0.164338
Mina,0.161709
Graves,0.16027
Bebop,0.156616
Infernus,0.154981
Billy,0.153503
Rem,0.152236
Grey Talon,0.150004
Sinclair,0.149053
Holliday,0.147515
Mirage,0.14048
