hero_a,hero_b,synergy_score,games
1,10,0.421965,346
1,11,0.531746,252
1,12,0.471963,214
1,13,0.438944,303
1,14,0.42029,138
1,15,0.420601,233
1,16,0.535332,467
1,17,0.494253,87
1,18,0.435666,443
1,19,0.366812,229
1,2,0.435897,195
1,20,0.509278,485
1,25,0.477124,153
1,27,0.420118,169
1,3,0.410569,246
1,31,0.439024,410
1,35,0.481633,245
1,4,0.537975,158
1,50,0.465241,187
1,52,0.353933,178
1,58,0.547368,95
1,6,0.451777,197
1,60,0.393939,165
1,63,0.393617,188
1,64,0.460274,365
1,65,0.437811,402
1,66,0.449275,138
1,67,0.514286,280
1,69,0.424419,344
1,7,0.474138,348
1,72,0.471074,121
1,76,0.404762,126
1,77,0.503937,254
1,79,0.398438,384
1,8,0.541237,194
1,80,0.471591,176
1,81,0.473171,205
10,11,0.563518,307
10,12,0.447699,239
10,13,0.47648,659
10,14,0.449102,167
10,15,0.415789,380
10,16,0.508824,1020
10,17,0.451777,197
10,18,0.498489,662
10,19,0.424958,593
10,2,0.489028,319
10,20,0.511076,632
10,25,0.468835,369
10,27,0.428266,467
10,3,0.494253,435
10,31,0.485714,770
10,35,0.489311,421
10,4,0.5,372
10,50,0.467933,421
10,52,0.386842,380
10,58,0.459302,172
10,6,0.470213,470
10,60,0.40884,181
10,63,0.444744,371
10,64,0.506024,747
10,65,0.477157,788
10,66,0.502604,384
10,67,0.43379,219
10,69,0.462185,357
10,7,0.501877,799
10,72,0.419608,255
10,76,0.46473,241
10,77,0.497896,713
10,79,0.386364,308
10,8,0.542208,308
10,80,0.463035,514
10,81,0.492341,457
11,12,0.553191,94
11,13,0.552339,449
11,14,0.530864,81
11,15,0.528037,214
11,16,0.593633,534
11,17,0.496241,133
11,18,0.578199,211
11,19,0.5,262
11,2,0.570776,219
11,20,0.556391,266
11,25,0.485549,173
11,27,0.520325,246
11,3,0.539749,239
11,31,0.544757,391
11,35,0.654255,188
11,4,0.526786,224
11,50,0.562249,249
11,52,0.404255,188
11,58,0.504505,111
11,6,0.478448,232
11,60,0.425532,94
11,63,0.497992,249
11,64,0.548309,414
11,65,0.560694,519
11,66,0.572165,194
11,67,0.444444,108
11,69,0.469945,183
11,7,0.549708,513
11,72,0.487179,117
11,76,0.613636,132
11,77,0.557864,337
11,79,0.480769,156
11,8,0.619355,155
11,80,0.541219,279
11,81,0.556291,302
12,13,0.495215,418
12,14,0.340426,47
12,15,0.459677,124
12,16,0.55102,441
12,17,0.380597,134
12,18,0.484472,161
12,19,0.447115,208
12,2,0.526132,287
12,20,0.557377,305
12,25,0.572327,159
12,27,0.451282,195
12,3,0.498054,257
12,31,0.473868,287
12,35,0.506329,158
12,4,0.457627,177
12,50,0.518395,299
12,52,0.404444,225
12,58,0.536842,95
12,6,0.533333,120
12,60,0.434783,69
12,63,0.471429,280
12,64,0.508961,279
12,65,0.519149,470
12,66,0.522222,180
12,67,0.511628,86
12,69,0.488722,133
12,7,0.525168,596
12,72,0.463158,95
12,76,0.473684,95
12,77,0.525735,272
12,79,0.407895,76
12,8,0.538961,154
12,80,0.488095,168
12,81,0.450777,193
13,14,0.459821,224
13,15,0.478723,470
13,16,0.559074,821
13,17,0.496689,151
13,18,0.528526,1262
13,19,0.468803,593
13,2,0.490196,306
13,20,0.531088,772
13,25,0.490431,418
13,27,0.497423,388
13,3,0.504021,373
13,31,0.533178,859
13,35,0.513258,528
13,4,0.528846,312
13,50,0.549153,295
13,52,0.414545,275
13,58,0.490566,159
13,6,0.513889,576
13,60,0.488584,219
13,63,0.474227,291
13,64,0.511692,727
13,65,0.50625,640
13,66,0.492683,410
13,67,0.502591,386
13,69,0.502203,454
13,7,0.518966,580
13,72,0.459877,324
13,76,0.521008,238
13,77,0.539823,565
13,79,0.430584,497
13,8,0.503268,306
13,80,0.529563,389
13,81,0.527187,423
14,15,0.392857,140
14,16,0.530864,243
14,17,0.34375,64
14,18,0.422535,142
14,19,0.411565,294
14,2,0.513274,113
14,20,0.517647,170
14,25,0.496855,159
14,27,0.458015,131
14,3,0.358025,81
14,31,0.448819,254
14,35,0.461039,154
14,4,0.446154,130
14,50,0.427273,110
14,52,0.382022,89
14,58,0.481481,54
14,6,0.443243,185
14,60,0.408163,49
14,63,0.478992,119
14,64,0.459854,274
14,65,0.452703,296
14,66,0.528662,157
14,67,0.526316,38
