hero_a,hero_b,winrate,games
1,10,0.421053,456
1,11,0.430693,202
1,12,0.490909,220
1,13,0.438967,426
1,14,0.371134,97
1,15,0.471616,229
1,16,0.400641,624
1,17,0.486726,113
1,18,0.427313,454
1,19,0.525424,354
1,2,0.409894,283
1,20,0.416327,490
1,25,0.474419,215
1,27,0.45122,246
1,3,0.455738,305
1,31,0.488764,534
1,35,0.407285,302
1,4,0.490909,220
1,50,0.415686,255
1,52,0.565611,221
1,58,0.387755,98
1,6,0.508591,291
1,60,0.512,125
1,63,0.524,250
1,64,0.473795,477
1,65,0.498891,451
1,66,0.431507,292
1,67,0.520737,217
1,69,0.470588,289
1,7,0.432479,585
1,72,0.555556,162
1,76,0.414286,140
1,77,0.423881,335
1,79,0.53304,227
1,8,0.413655,249
1,80,0.428044,271
1,81,0.419672,305
10,1,0.578947,456
10,11,0.464103,390
10,12,0.49162,358
10,13,0.498652,742
10,14,0.528736,261
10,15,0.525773,485
10,16,0.42418,976
10,17,0.511194,268
10,18,0.437799,836
10,19,0.558574,589
10,2,0.440351,570
10,20,0.43662,923
10,25,0.459302,344
10,27,0.47234,470
10,3,0.465827,556
10,31,0.48497,998
10,35,0.458101,537
10,4,0.477089,371
10,50,0.445652,552
10,52,0.541333,375
10,58,0.450644,233
10,6,0.453586,474
10,60,0.536122,263
10,63,0.496802,469
10,64,0.470522,882
10,65,0.457008,849
10,66,0.461153,399
10,67,0.485488,379
10,69,0.484653,619
10,7,0.471132,866
10,72,0.528662,314
10,76,0.519164,287
10,77,0.455099,657
10,79,0.54512,543
10,8,0.432432,370
10,80,0.448637,477
10,81,0.434505,626
11,1,0.569307,202
11,10,0.535897,390
11,12,0.497585,207
11,13,0.5325,400
11,14,0.58871,124
11,15,0.583026,271
11,16,0.474766,535
11,17,0.637795,127
11,18,0.517308,520
11,19,0.599424,347
11,2,0.472527,273
11,20,0.506329,553
11,25,0.506977,215
11,27,0.57563,238
11,3,0.533333,285
11,31,0.539841,502
11,35,0.52649,302
11,4,0.563063,222
11,50,0.482625,259
11,52,0.626667,225
11,58,0.45283,106
11,6,0.568773,269
11,60,0.582781,151
11,63,0.606498,277
11,64,0.526906,446
11,65,0.546729,428
11,66,0.548387,217
11,67,0.543269,208
11,69,0.565657,297
11,7,0.488636,440
11,72,0.582011,189
11,76,0.647799,159
11,77,0.552553,333
11,79,0.62776,317
11,8,0.502183,229
11,80,0.546185,249
11,81,0.493197,294
12,1,0.509091,220
12,10,0.50838,358
12,11,0.502415,207
12,13,0.529221,308
12,14,0.543478,92
12,15,0.570732,205
12,16,0.453069,554
12,17,0.540816,98
12,18,0.478992,476
12,19,0.5209,311
12,2,0.49505,202
12,20,0.469185,503
12,25,0.549708,171
12,27,0.520833,192
12,3,0.506536,306
12,31,0.5,418
12,35,0.521277,282
12,4,0.47619,210
12,50,0.472362,199
12,52,0.587678,211
12,58,0.5,82
12,6,0.47541,244
12,60,0.557252,131
12,63,0.536697,218
12,64,0.485646,418
12,65,0.470423,355
12,66,0.477064,218
12,67,0.517949,195
12,69,0.475884,311
12,7,0.474667,375
12,72,0.506494,154
12,76,0.471154,104
12,77,0.5053,283
12,79,0.54,250
12,8,0.410628,207
12,80,0.492063,189
12,81,0.492462,199
13,1,0.561033,426
13,10,0.501348,742
13,11,0.4675,400
13,12,0.470779,308
13,14,0.555133,263
13,15,0.553704,540
13,16,0.44087,1150
13,17,0.537367,281
13,18,0.469388,539
13,19,0.568218,623
13,2,0.469613,543
13,20,0.444444,846
13,25,0.554348,368
13,27,0.537428,521
13,3,0.511754,553
13,31,0.516517,999
13,35,0.495556,450
13,4,0.51954,435
13,50,0.532957,531
13,52,0.588942,416
13,58,0.46,250
13,6,0.523904,502
13,60,0.562278,281
13,63,0.520388,515
13,64,0.495859,966
13,65,0.511321,1060
13,66,0.489899,396
13,67,0.527559,381
13,69,0.513841,578
13,7,0.48318,981
13,72,0.54485,301
13,76,0.514535,344
13,77,0.488402,776
13,79,0.600707,566
13,8,0.441805,421
13,80,0.501701,588
13,81,0.490683,644
14,1,0.628866,97
14,10,0.471264,261
14,11,0.41129,124
14,12,0.456522,92
14,13,0.444867,263
14,15,0.525714,175
14,16,0.43,300
14,17,0.469136,81
14,18,0.438662,269
14,19,0.524823,141
14,2,0.471264,174
14,20,0.415094,265
14,25,0.445312,128
14,27,0.423077,130
14,3,0.444444,171
14,31,0.444444,306
14,35,0.475,160
14,4,0.478723,94
14,50,0.475309,162
14,52,0.575163,153
14,58,0.426471,68
14,6,0.418182,165
14,60,0.587302,63
14,63,0.506494,154
14,64,0.417582,273
14,65,0.456376,298
14,66,0.495146,103
14,67,0.504274,117
14,69,0.477419,155
14,7,0.420233,257
14,72,0.413043,92
14,76,0.449153,118
14,77,0.438596,228
14,79,0.459091,220
14,8,0.401639,122
14,80,0.489474,190
14,81,0.372093,215
15,1,0.528384,229
15,10,0.474227,485
15,11,0.416974,271
15,12,0.429268,205
15,13,0.446296,540
15,14,0.474286,175
15,16,0.377586,580
15,17,0.497382,191
15,18,0.44186,559
15,19,0.455752,452
15,2,0.457944,321
15,20,0.404059,542
15,25,0.435088,285
15,27,0.460526,304
15,3,0.47205,322
15,31,0.437943,564
15,35,0.396721,305
15,4,0.463203,231
15,50,0.429448,326
15,52,0.483271,269
15,58,0.45679,162
15,6,0.502604,384
15,60,0.494792,192
15,63,0.443709,302
15,64,0.424188,554
15,65,0.471756,655
15,66,0.437288,295
15,67,0.474308,253
15,69,0.453731,335
15,7,0.429658,526
15,72,0.504348,230
15,76,0.43318,217
15,77,0.439189,444
15,79,0.518207,357
15,8,0.453744,227
15,80,0.442478,339
15,81,0.440415,386
16,1,0.599359,624
16,10,0.57582,976
16,11,0.525234,535
16,12,0.546931,554
16,13,0.55913,1150
16,14,0.57,300
16,15,0.622414,580
16,17,0.540785,331
16,18,0.516611,1204
16,19,0.57732,1067
16,2,0.513644,623
16,20,0.510784,1020
16,25,0.548061,593
16,27,0.545946,740
16,3,0.533496,821
16,31,0.542305,1241
16,35,0.519886,704
16,4,0.519231,676
16,50,0.530263,760
16,52,0.639399,599
16,58,0.524476,286
16,6,0.552925,718
16,60,0.597087,412
16,63,0.558245,661
16,64,0.533552,1222
16,65,0.524303,1255
16,66,0.542657,715
16,67,0.52605,595
16,69,0.552201,795
16,7,0.523066,1409
16,72,0.570194,463
16,76,0.518732,347
16,77,0.527442,1075
16,79,0.587467,766
16,8,0.488593,526
16,80,0.522606,752
16,81,0.500677,739
17,1,0.513274,113
17,10,0.488806,268
17,11,0.362205,127
17,12,0.459184,98
17,13,0.462633,281
17,14,0.530864,81
17,15,0.502618,191
17,16,0.459215,331
17,18,0.428571,224
17,19,0.453271,214
17,2,0.457516,153
17,20,0.422383,277
17,25,0.418367,98
17,27,0.513514,148
17,3,0.492754,207
17,31,0.486264,364
17,35,0.437086,151
17,4,0.420732,164
17,50,0.458065,155
17,52,0.533981,103
17,58,0.507042,71
17,6,0.463277,177
17,60,0.544444,90
17,63,0.493151,146
17,64,0.43,300
17,65,0.490566,318
17,66,0.511628,129
17,67,0.408451,142
17,69,0.442105,190
17,7,0.416938,307
17,72,0.545455,99
17,76,0.447368,114
17,77,0.517606,284
17,79,0.514851,202
17,8,0.361905,105
17,80,0.471111,225
17,81,0.451064,235
18,1,0.572687,454
18,10,0.562201,836
18,11,0.482692,520
18,12,0.521008,476
18,13,0.530612,539
18,14,0.561338,269
18,15,0.55814,559
18,16,0.483389,1204
18,17,0.571429,224
18,19,0.547564,862
18,2,0.508704,517
18,20,0.473498,1132
18,25,0.526523,509
18,27,0.546737,567
18,3,0.525723,622
18,31,0.533445,1196
18,35,0.516556,755
18,4,0.494553,459
18,50,0.520875,503
18,52,0.619687,447
18,58,0.493506,231
18,6,0.553936,686
18,60,0.564576,271
18,63,0.559165,431
18,64,0.5387,969
18,65,0.533001,803
18,66,0.514003,607
18,67,0.511579,475
18,69,0.520924,693
18,7,0.524812,665
18,72,0.568675,415
18,76,0.514019,321
18,77,0.490934,717
18,79,0.620427,656
18,8,0.478873,497
18,80,0.517241,522
18,81,0.483421,573
19,1,0.474576,354
19,10,0.441426,589
19,11,0.400576,347
19,12,0.4791,311
19,13,0.431782,623
19,14,0.475177,141
19,15,0.544248,452
19,16,0.42268,1067
19,17,0.546729,214
19,18,0.452436,862
19,2,0.453659,410
19,20,0.426277,685
19,25,0.47861,374
19,27,0.450575,435
19,3,0.449883,429
19,31,0.480427,843
19,35,0.42093,430
19,4,0.44802,404
19,50,0.498753,401
19,52,0.574194,310
19,58,0.461538,195
19,6,0.477642,492
19,60,0.544503,191
19,63,0.481283,374
19,64,0.465839,805
19,65,0.460859,792
19,66,0.447447,333
19,67,0.438735,253
19,69,0.473538,359
19,7,0.432432,703
19,72,0.485915,284
19,76,0.435294,255
19,77,0.452532,632
19,79,0.512121,330
19,8,0.376543,324
19,80,0.434,500
19,81,0.441118,501
2,1,0.590106,283
2,10,0.559649,570
2,11,0.527473,273
2,12,0.50495,202
2,13,0.530387,543
2,14,0.528736,174
2,15,0.542056,321
2,16,0.486356,623
2,17,0.542484,153
2,18,0.491296,517
2,19,0.546341,410
2,20,0.503413,586
2,25,0.539033,269
2,27,0.551495,301
2,3,0.501401,357
2,31,0.544901,657
2,35,0.493671,316
2,4,0.528169,284
2,50,0.507508,333
2,52,0.610895,257
2,58,0.520325,123
2,6,0.523121,346
2,60,0.527778,180
2,63,0.575949,316
2,64,0.527157,626
2,65,0.48554,657
2,66,0.510549,237
2,67,0.509579,261
2,69,0.522472,356
2,7,0.458961,597
2,72,0.542056,214
2,76,0.578704,216
2,77,0.52381,483
2,79,0.580902,377
2,8,0.484962,266
2,80,0.513228,378
2,81,0.521127,426
20,1,0.583673,490
20,10,0.56338,923
20,11,0.493671,553
20,12,0.530815,503
20,13,0.555556,846
20,14,0.584906,265
20,15,0.595941,542
20,16,0.489216,1020
20,17,0.577617,277
20,18,0.526502,1132
20,19,0.573723,685
20,2,0.496587,586
20,25,0.543902,410
20,27,0.591837,490
20,3,0.528133,782
20,31,0.556569,1096
20,35,0.503715,673
20,4,0.522565,421
20,50,0.558176,636
20,52,0.626582,474
20,58,0.503623,276
20,6,0.55916,524
20,60,0.564103,312
20,63,0.560892,583
20,64,0.53185,989
20,65,0.542355,968
20,66,0.552133,422
20,67,0.542169,498
20,69,0.574297,747
20,7,0.511278,1064
20,72,0.57027,370
20,76,0.535928,334
20,77,0.566011,712
20,79,0.5952,625
20,8,0.476471,510
20,80,0.548323,507
20,81,0.504146,603
25,1,0.525581,215
25,10,0.540698,344
25,11,0.493023,215
25,12,0.450292,171
25,13,0.445652,368
25,14,0.554688,128
25,15,0.564912,285
25,16,0.451939,593
25,17,0.581633,98
25,18,0.473477,509
25,19,0.52139,374
25,2,0.460967,269
25,20,0.456098,410
25,27,0.553571,224
25,3,0.478873,284
25,31,0.493506,539
25,35,0.484321,287
25,4,0.504098,244
25,50,0.491071,224
25,52,0.597222,216
25,58,0.471698,106
25,6,0.479624,319
25,60,0.513274,113
25,63,0.516807,238
25,64,0.47619,504
25,65,0.465421,535
25,66,0.516908,207
25,67,0.486339,183
25,69,0.519481,231
25,7,0.475162,463
25,72,0.493976,166
25,76,0.529412,187
25,77,0.518892,397
25,79,0.504464,224
25,8,0.47549,204
25,80,0.544872,312
25,81,0.431548,336
27,1,0.54878,246
27,10,0.52766,470
27,11,0.42437,238
27,12,0.479167,192
27,13,0.462572,521
27,14,0.576923,130
27,15,0.539474,304
27,16,0.454054,740
27,17,0.486486,148
27,18,0.453263,567
27,19,0.549425,435
27,2,0.448505,301
27,20,0.408163,490
27,25,0.446429,224
27,3,0.448916,323
27,31,0.487091,581
27,35,0.473529,340
27,4,0.472603,292
27,50,0.45045,333
27,52,0.562963,270
27,58,0.483051,118
27,6,0.471698,318
27,60,0.503356,149
27,63,0.507299,274
27,64,0.458484,554
27,65,0.477583,513
27,66,0.44664,253
27,67,0.472637,201
27,69,0.498328,299
27,7,0.483592,579
27,72,0.473934,211
27,76,0.481013,158
27,77,0.462282,517
27,79,0.554264,258
27,8,0.444444,216
27,80,0.498423,317
27,81,0.476048,334
3,1,0.544262,305
3,10,0.534173,556
3,11,0.466667,285
3,12,0.493464,306
3,13,0.488246,553
3,14,0.555556,171
3,15,0.52795,322
3,16,0.466504,821
3,17,0.507246,207
3,18,0.474277,622
3,19,0.550117,429
3,2,0.498599,357
3,20,0.471867,782
3,25,0.521127,284
3,27,0.551084,323
3,31,0.512156,617
3,35,0.488064,377
3,4,0.511327,309
3,50,0.490244,410
3,52,0.602041,294
3,58,0.493243,148
3,6,0.496774,310
3,60,0.540541,222
3,63,0.498807,419
3,64,0.487437,597
3,65,0.517081,644
3,66,0.490446,314
3,67,0.524164,269
3,69,0.513002,423
3,7,0.482252,817
3,72,0.504425,226
3,76,0.484848,165
3,77,0.480573,489
3,79,0.567251,342
3,8,0.436137,321
3,80,0.455108,323
3,81,0.493151,365
31,1,0.511236,534
31,10,0.51503,998
31,11,0.460159,502
31,12,0.5,418
31,13,0.483483,999
31,14,0.555556,306
31,15,0.562057,564
31,16,0.457695,1241
31,17,0.513736,364
31,18,0.466555,1196
31,19,0.519573,843
31,2,0.455099,657
31,20,0.443431,1096
31,25,0.506494,539
31,27,0.512909,581
31,3,0.487844,617
31,35,0.495509,668
31,4,0.493433,533
31,50,0.478261,667
31,52,0.600823,486
31,58,0.466418,268
31,6,0.475771,681
31,60,0.547945,365
31,63,0.514241,632
31,64,0.493976,1079
31,65,0.509306,1182
31,66,0.467772,543
31,67,0.48125,480
31,69,0.473451,678
31,7,0.471021,1087
31,72,0.53717,417
31,76,0.497191,356
31,77,0.486828,949
31,79,0.557864,674
31,8,0.438515,431
31,80,0.49118,737
31,81,0.463173,706
35,1,0.592715,302
35,10,0.541899,537
35,11,0.47351,302
35,12,0.478723,282
35,13,0.504444,450
35,14,0.525,160
35,15,0.603279,305
35,16,0.480114,704
35,17,0.562914,151
35,18,0.483444,755
35,19,0.57907,430
35,2,0.506329,316
35,20,0.496285,673
35,25,0.515679,287
35,27,0.526471,340
35,3,0.511936,377
35,31,0.504491,668
35,4,0.456081,296
35,50,0.494949,396
35,52,0.609524,315
35,58,0.510949,137
35,6,0.533149,362
35,60,0.632653,147
35,63,0.477419,310
35,64,0.52974,538
35,65,0.52583,542
35,66,0.498423,317
35,67,0.540404,198
35,69,0.544365,417
35,7,0.464052,612
35,72,0.553191,235
35,76,0.514451,173
35,77,0.492063,441
35,79,0.614583,288
35,8,0.443299,291
35,80,0.505085,295
35,81,0.453287,289
4,1,0.509091,220
4,10,0.522911,371
4,11,0.436937,222
4,12,0.52381,210
4,13,0.48046,435
4,14,0.521277,94
4,15,0.536797,231
4,16,0.480769,676
4,17,0.579268,164
4,18,0.505447,459
4,19,0.55198,404
4,2,0.471831,284
4,20,0.477435,421
4,25,0.495902,244
4,27,0.527397,292
4,3,0.488673,309
4,31,0.506567,533
4,35,0.543919,296
4,50,0.514196,317
4,52,0.535865,237
4,58,0.515152,99
4,6,0.523026,304
4,60,0.518519,162
4,63,0.540717,307
4,64,0.501124,445
4,65,0.488288,555
4,66,0.522634,243
